26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:49:09 - INFO - LOG: Karnataka,BENGALURU NORTH  RTO - KA4( 28-JAN-2019 ),2025,JAN Was successfully downloaded
26:05:2025-18:49:23 - INFO - LOG: Karnataka,BENGALURU NORTH  RTO - KA4( 28-JAN-2019 ),2025,FEB Was successfully downloaded
26:05:2025-18:49:33 - INFO - LOG: Uttar Pradesh,Azamgarh RTO - UP50( 26-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:49:36 - INFO - LOG: Karnataka,BENGALURU NORTH  RTO - KA4( 28-JAN-2019 ),2025,MAR Was successfully downloaded
26:05:2025-18:49:47 - INFO - LOG: Uttar Pradesh,Azamgarh RTO - UP50( 26-FEB-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:49:50 - INFO - LOG: Karnataka,BENGALURU NORTH  RTO - KA4( 28-JAN-2019 ),2025,APR Was successfully downloaded
26:05:2025-18:50:00 - INFO - LOG: Uttar Pradesh,Azamgarh RTO - UP50( 26-FEB-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:50:03 - INFO - LOG: Karnataka,BENGALURU NORTH  RTO - KA4( 28-JAN-2019 ),2025,MAY Was successfully downloaded
26:05:2025-18:50:14 - INFO - LOG: Uttar Pradesh,Azamgarh RTO - UP50( 26-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:50:28 - INFO - LOG: Uttar Pradesh,Azamgarh RTO - UP50( 26-FEB-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:50:34 - INFO - LOG: Karnataka,BENGALURU SOUTH  RTO - KA5( 07-JAN-2019 ),2025,JAN Was successfully downloaded
26:05:2025-18:50:47 - INFO - LOG: Karnataka,BENGALURU SOUTH  RTO - KA5( 07-JAN-2019 ),2025,FEB Was successfully downloaded
26:05:2025-18:50:58 - INFO - LOG: Uttar Pradesh,Badaun - UP24( 12-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:51:01 - INFO - LOG: Karnataka,BENGALURU SOUTH  RTO - KA5( 07-JAN-2019 ),2025,MAR Was successfully downloaded
26:05:2025-18:51:11 - INFO - LOG: Uttar Pradesh,Badaun - UP24( 12-FEB-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:51:14 - INFO - LOG: Karnataka,BENGALURU SOUTH  RTO - KA5( 07-JAN-2019 ),2025,APR Was successfully downloaded
26:05:2025-18:51:25 - INFO - LOG: Uttar Pradesh,Badaun - UP24( 12-FEB-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:51:28 - INFO - LOG: Karnataka,BENGALURU SOUTH  RTO - KA5( 07-JAN-2019 ),2025,MAY Was successfully downloaded
